Country,Continent,Year,Import (US$ Billion)
Qatar,Asia,2001,11.77448722
Romania,Europe,2001,12.55382223
Russia,Asia,2001,104.0323517
Rwanda,Africa,2001,0.06745974
Saudi Arabia,Asia,2001,70.03424753
Senegal,Africa,2001,0.7454785
Serbia,Europe,2001,1.62202939
Singapore,Asia,2001,87.63009006
Solomon Islands,Oceania,2001,0.08725919
Sierra Leone,Africa,2001,0.09795846
El Salvador,North America,2001,3.03651197
San Marino,Europe,2001,0.04704861
Somalia,Africa,2001,0.0865259
Sao Tome and Principe,Africa,2001,0.01343446
Suriname,South America,2001,0.53025096
Slovakia,Europe,2001,12.63845475
Slovenia,Europe,2001,8.83496369
Sweden,Europe,2001,78.82945366
Eswatini,Africa,2001,0.37759915
Seychelles,Africa,2001,0.25821491
Syria,Asia,2001,5.88914334
Chad,Africa,2001,0.08365251
Togo,Africa,2001,0.42750703
Thailand,Asia,2001,71.55441121
Tajikistan,Asia,2001,0.36016397
Turkmenistan,Asia,2001,2.31444962
Timor-Leste,Asia,2001,0.00812667
Tonga,Oceania,2001,0.02474408
Trinidad and Tobago,North America,2001,4.10514501
Tunisia,Africa,2001,6.52337999
Turkey,Asia,2001,30.51689808
Tuvalu,Oceania,2001,0.30220997
Tanzania,Africa,2001,0.73133882
Uganda,Africa,2001,0.38356402
Ukraine,Europe,2001,16.58331072
Uruguay,South America,2001,2.36949642
United States,North America,2001,762.3073985
Uzbekistan,Asia,2001,2.95265724
Holy See,Europe,2001,0.00339709
St. Vincent and the Grenadines,North America,2001,0.15261611
Venezuela,South America,2001,25.87792623
Vietnam,Asia,2001,14.56411459
Vanuatu,Oceania,2001,0.06644641
Samoa,Oceania,2001,0.06282819
Yemen,Asia,2001,3.02584206
South Africa,Africa,2001,39.88352763
DR Congo,Africa,2001,1.12599367
Zambia,Africa,2001,0.68684104
Zimbabwe,Africa,2001,2.02724068
Afghanistan,Asia,2002,0.07289981
Angola,Africa,2002,7.93765845
Albania,Europe,2002,0.36764048
Andorra,Europe,2002,0.06359095
United Arab Emirates,Asia,2002,34.11070466
Argentina,South America,2002,27.72802002
Armenia,Europe,2002,0.39376404
Antigua and Barbuda,North America,2002,0.25700303
Australia,Oceania,2002,68.76544765
Austria,Europe,2002,65.43103202
Azerbaijan,Europe,2002,1.74665987
Burundi,Africa,2002,0.03818491
Belgium,Europe,2002,155.542225
Benin,Africa,2002,0.31755588
Bangladesh,Asia,2002,6.79342089
Bulgaria,Europe,2002,6.00659421
Bahrain,Asia,2002,2.92262381
Bahamas,North America,2002,1.37504914
Bosnia and Herzegovina,Europe,2002,1.13565515
Belarus,Europe,2002,6.45554676
Belize,North America,2002,0.20072306
Bolivia,South America,2002,1.39822969
Brazil,South America,2002,64.29700577
Barbados,North America,2002,0.38463237
Brunei,Asia,2002,3.71023839
Bhutan,Asia,2002,0.03120527
Botswana,Africa,2002,1.70580015
Central African Republic,Africa,2002,0.18944757
Canada,North America,2002,264.2242128
Switzerland,Europe,2002,96.27336843
Chile,South America,2002,19.14725452
China,Asia,2002,504.8833439
Ivory Coast,Africa,2002,4.51021766
Cameroon,Africa,2002,2.01813285
Republic of the Congo,Africa,2002,2.21526934
Colombia,South America,2002,13.41216722
Comoros,Africa,2002,0.0322563
Cape Verde,Africa,2002,0.02176244
Costa Rica,North America,2002,7.75606232
Cuba,North America,2002,1.40245909
Cyprus,Europe,2002,1.02384629
Czechia,Europe,2002,37.64906712
Germany,Europe,2002,589.4373547
Djibouti,Africa,2002,0.03366928
Dominica,North America,2002,0.06345598
Denmark,Europe,2002,48.86540901
Dominican Rep.,North America,2002,4.9237993
Algeria,Africa,2002,17.01229695
Ecuador,South America,2002,6.28745365
Egypt,Africa,2002,7.08634829
Eritrea,Africa,2002,0.01203373
Spain,Europe,2002,119.5469626
Estonia,Europe,2002,4.31453911
Ethiopia,Africa,2002,0.43950568
Finland,Europe,2002,44.13783452
Fiji,Oceania,2002,0.51744872
France,Europe,2002,306.8667955
Micronesia,Oceania,2002,0.07378829
Gabon,Africa,2002,2.83959569
United Kingdom,Europe,2002,264.4261457
Georgia,Europe,2002,0.59526566
Ghana,Africa,2002,2.1861884
Guinea,Africa,2002,0.97045214
Gambia,Africa,2002,0.04019464
Guinea-Bissau,Africa,2002,0.08785872
Equatorial Guinea,Africa,2002,1.91467781
Greece,Europe,2002,10.91955038
Grenada,North America,2002,0.04806356
Guatemala,North America,2002,4.99334962
Guyana,South America,2002,0.5576869
Honduras,North America,2002,4.35467446
Croatia,Europe,2002,3.53785419
Haiti,North America,2002,0.29516484
Hungary,Europe,2002,34.37688516
Indonesia,Asia,2002,64.7810114
India,Asia,2002,53.79313649
Ireland,Europe,2002,101.5443186
Iran,Asia,2002,19.78979247
Iraq,Asia,2002,9.73918331
Iceland,Europe,2002,2.42180739
Israel,Asia,2002,29.2201794
Italy,Europe,2002,234.7149409
Jamaica,North America,2002,1.48941631
Jordan,Asia,2002,2.25679833
Japan,Asia,2002,461.9158023
Kazakhstan,Asia,2002,9.47138143
Kenya,Africa,2002,2.05037097
Kyrgyzstan,Asia,2002,0.32037764
Cambodia,Asia,2002,2.07560858
Kiribati,Oceania,2002,0.03199894
St. Kitts and Nevis,North America,2002,0.07096649
South Korea,Asia,2002,167.7312401
Kuwait,Asia,2002,15.84318525
Laos,Asia,2002,0.33953536
Lebanon,Asia,2002,1.45965805
Liberia,Africa,2002,1.82826516
Libya,Africa,2002,10.12305441
St. Lucia,North America,2002,0.75576111
Sri Lanka,Asia,2002,4.98236974
Lesotho,Africa,2002,0.36008412
Lithuania,Europe,2002,4.92257981
Luxembourg,Europe,2002,8.25326629
Latvia,Europe,2002,3.04179461
Morocco,Africa,2002,8.88375752
Monaco,Europe,2002,0.00020029
Moldova,Europe,2002,0.82839052
Madagascar,Africa,2002,0.85087958
Maldives,Asia,2002,0.24692648
Mexico,North America,2002,161.8377998
Marshall Islands,Oceania,2002,0.22348518
North Macedonia,Europe,2002,0.96387475
Mali,Africa,2002,0.59690212
Malta,Europe,2002,2.65772441
Myanmar,Asia,2002,2.88015443
Mongolia,Asia,2002,0.55945692
Mozambique,Africa,2002,1.12650071
Mauritania,Africa,2002,0.58693505
Mauritius,Africa,2002,1.74342827
Malawi,Africa,2002,0.48539653
Malaysia,Asia,2002,115.6888189
Namibia,Africa,2002,0.86449615
Niger,Africa,2002,0.13566508
Nigeria,Africa,2002,16.73163379
Nicaragua,North America,2002,1.10194841
Netherlands,Europe,2002,188.0555607
Norway,Europe,2002,53.58092902
Nepal,Asia,2002,0.5687885
Nauru,Oceania,2002,0.0155863
New Zealand,Oceania,2002,14.8756966
Oman,Asia,2002,9.63207773
Pakistan,Asia,2002,9.41586401
Panama,North America,2002,3.12112546
Peru,South America,2002,8.22098174
Philippines,Asia,2002,46.00927146
Palau,Oceania,2002,0.02875724
Papua New Guinea,Oceania,2002,1.73336588
Poland,Europe,2002,38.58624375
North Korea,Asia,2002,1.01894929
Portugal,Europe,2002,26.05480015
Paraguay,South America,2002,2.39404697
Palestine,Asia,2002,0.08077405
Qatar,Asia,2002,10.99723393
Romania,Europe,2002,14.96904772
Russia,Asia,2002,111.6353788
Rwanda,Africa,2002,0.11523324
Saudi Arabia,Asia,2002,67.76993529
Senegal,Africa,2002,0.86112859
Serbia,Europe,2002,1.94230367
Singapore,Asia,2002,92.42268733
Solomon Islands,Oceania,2002,0.09588445
Sierra Leone,Africa,2002,0.16878731
El Salvador,North America,2002,3.11118714
San Marino,Europe,2002,0.05578079
Somalia,Africa,2002,0.15188427
Sao Tome and Principe,Africa,2002,0.01231574
Suriname,South America,2002,0.48938114
Slovakia,Europe,2002,15.69980522
Slovenia,Europe,2002,9.95144718
Sweden,Europe,2002,81.2641325
Eswatini,Africa,2002,0.55430743
Seychelles,Africa,2002,0.38405302
Syria,Asia,2002,6.6452072
Chad,Africa,2002,0.06766205
Togo,Africa,2002,0.35554372
Thailand,Asia,2002,74.9782654
Tajikistan,Asia,2002,0.45784545
Turkmenistan,Asia,2002,2.64571546
Timor-Leste,Asia,2002,0.01920355
Tonga,Oceania,2002,0.02932999
